,id,tweet
0,73177803,garin marowata kake yabawa ##url
1,73177804,hegu matsiyata ba ##url
2,73177805,smh to all those underestimating yemi alade her music is top notch!🔥
3,73177806,"@username kasan mafi yawancin su dakikai ne, sun dauka rubutun ajami ma musulunci ne shiyasa. wawaye dakikai kawai..."
4,73177807,"@username kaji barauniya ko, ta fara renin hankalin nata, wane dan iska ne ze baki 1k bayan asara ne."
5,73177808,gats be the one i try almajiri in front of my house and e chop my father. e beat me black and blue.   no physical scars sef. na ptsd e limme with😭 ##url
6,73177809,in congo: opposition rejects talks with kabila govt over election ##url
7,73177810,@username arne wiz 😂😂. you still remember that shit
8,73177811,"musulmai yau da yawa mun daina kwaikwayon manzon allah da sahabbansa wajen dabi'u, mu'amala, aure, zamantakewa da sa sutura, duk an kama kwaikwayon yahudawa arna marasa tarbiyya..   in akaga kana kamanta addini kaine bakauye a wajensu..   allah ya kyauta ya kebo bayi.. 🤲"
9,73177812,"yau inda ace wannan 'dan ta'adda musulmi ne da yanzu labarin ake yadawa a duk duniya, amma abinda zai baku makami ku kara fahimtar yadda ake yiwa musulunci batanci, manyan kafofin watsa labarai irinsu bbc hausa, voa hausa,dw hausa, rfi hausa da makamantansu har yanzu basu saka,ba ##url"
10,73177813,"yessoo""@username : almajiri  vote president out of villa ""@username : congratulations to entire almajiris in the country, wind of change"""""
11,73177814,@username kyalle shashasha kawai daga tagging sai lace ama kyauta
12,73177815,duniya makaranta  mai alheri ko a cikin talauci sai ya yi kyauta. marowaci ko ya mallaki duniya sai ya yi rowa.  farfesa mansur sokoto
13,73177816,"@username idan zan maka bayanin su, kai kanka sai ka shirya zama... amma koh da iya musuluntar da maguzawa 200  a wudil na barka kasan ba karamin hidima ga addini bane.. #kanosaiubanabba"
14,73177817,@username gaskia fa inyamuri na kokari wolhi dakir na sha
15,73177818,"abun haushi, wai mutun dan iska, dan bola,dan tasha, maciyin haram wanda in aka tirke ubanshi yayi tafsirin sura daya sai anyi da gaske, anma shi xaixo yana kushe tare da zagin mahaddata alqur'ani kamansu as @username dan rashin basira da lalacewa, allah yaqara mallam imani."
16,73177819,"@username ya mutu kafuri, sauran hukuncin kafuri kuma yana wurin allah"
17,73177820,"@username that's a very good commissioner. no airs. i used to hate that sakara music growing up. these days, i find the musically expression top notch."
18,73177821,@username shege dan kauye wlh allah karya kake kasan wani gari nake kuwa
19,73177822,@username arne black in ug ba !
20,73177823,@username dan kutumar uba
21,73177824,"agola mai wuyar ban nama, ka bashi nama ya cinye, ka bashi kashi ya rike a hannu"
22,73177825,a gidan uwar wa arniya ta zama yar katsina? ##url
23,73177826,"babu abunda zaka bawa 'yayanka a duniya kamar ka karantar dasu alqur'ani tun suna kanana, ka basu tarbiyyar musulunci, idan suka tashi da addini da alqur'ani inshaallah kowace duniya zasu shiga basu halaka ko a jefa musu aqidun yahudawa da kafiran duniya ba...✍🏼"
24,73177827,real dan tasha ne. yayi leadership na motor park ##url
25,73177828,@username catfish ne kai ko?  dan akuya aihuwar kan titi
26,73177829,"lol, funny enough, performing very good at debates might actually cost you votes. our people scorn 'intellectualism', they'll say his english is too much. say 'kai bayahude ne', 'na english we go chop""... kai dai ayi sha'ani."
27,73177830,"@username sufa yan siyasar nan na lura kalon sauna kira mana shashasha in kaga sakarai ku taho tare, sukewa talakan nigeria"
28,73177831,@username arna masu gashi kenan
29,73177832,@username ka riga da kayi nisa a jar tafiya if not da kagane mutumin dake musuluntar da maguzawa ga hidimar da yake ma addini amman saboda kiyayya duk kun shafe idanunku da toka sai dai aibunsa kuke gani bakwa irga alkhairensa haka yakamata musulmi ya zama? irga laifuka da manta alkhairai?
30,73177833,@username idan kaga ana son nuna karfin gwamnati sai wani ana zargin yayi batanci ga shugaba  amma idan ana maganar kare yan qasa daga yan ta'adda anan kam saika rasa ina gwamnati ta shiga
31,73177834,@username yahudawa kenan mutanen mu saura kuma ace s*x na kara tsawon kwana
32,73177835,buro uba😂😂  anaa hege a kannywood😂  dan tasha + yar tasha + yan tasha give me answer pls  me: yan tashoshi😂😂
34,73177837,"revolution are brought about by men, by men who think as men of action and act as men of thought. almajiri is also a child ##url"
35,73177838,@username to ai duk malalata ne 🤗🤗🤗
36,73177839,@username so ya kamata gwamnati ta shigo abin sanna da laifin iyayen  yaran .koh dabba in taga ruwa ko sanye tana jan yayanta a jikin amma basan meyesa iyaye suke yen haka ba! susani allah zai tambaye su akan kiwon da aka ba su fah ranar gobe kiyama.
37,73177840,banda sharrin soyayya٫ ta yaya mai degree ya tsaya yarinyar data fadi jamb٫ ta dinga cewa shi ba sa'anta bane. shegiya dakikiya kawai🥲😒😒🤔
38,73177841,allah yace:  duk wanda ya aikata aiki mai kyau daga cikin maza ko mata kuma yana mumini to zamu rayar dashi rayuwa mai kyau..  #alquran  in kanason rayuwa mai kyau a duniya da lahira to kazama mai imani kuma ka aikata abunda allah yakeso..  shawara ce👌
39,73177842,@username daman yar tasha ai dan tasha irinta 🤣🤣🤣
40,73177843,@username kaga namiji! amma dai duk sun mutu yan banza tsinannu kawai har kafirai ma sun tsane ku yan iska
41,73177844,@username your problem is you dont knw these yoruba soups &amp; stews! ishapa orunla egusi pade mi nigunpa efo elegusi efo riro efo soko yokoto ewedu ati gbegiri ila alasepo omi-obe ati bokoto obe ofada obe egbo obe esuru etc standard cooking not your #10 jungle style! 😜 ##url
42,73177845,@username cewa kawai yayi akwai wata guntuwa dazai taging shima
43,73177846,"ya allah ka shiryar damu hanyarka madaidaiciya, hanyar wadanda kayi ni'ima garesu (annabawa da muminai), ba hanyar wadanda kayi fushi dasu ba (yahudu) kuma ba hanyar batattu ba (nasara)..🤲🏼"
44,73177847,@username inaaaa... almajiri dai
45,73177848,@username gaskiya it is needed
46,73177849,"morning #upnorth👏🌷   if u call us aboki we call u nyamuri if u call us almajiri we call u e-begger call us bokoharam we call u yahoo boys call us uncivilised we call u political thugs call us paedophiles we call u rapist/ritualist ""sub for sub""so it's better to let peace rain. ##url"
47,73177850,@username al'adar yahudawa da nasara ta zamewa wasu order of the day.  allah ya qara mana qarfin imani yasa mufi qarfin zuqatanmu
49,73177852,baba anci arna kutumesi....
50,73177853,@username suma matan munana ne suka amfani da snap chart
51,73177854,@username he should go with his own kwamo kamar wani dan almajiri
52,73177855,baba nadade banga jaki kamar sarr ba ##url
53,73177856,eh fadawan sarki lamido suka cewa shekarau angaisheka duna wakilin arna hhahahahaha
