,id,tweet
0,1.30906E+18,@username okpo ntu!!!!  we still have adult diapers.  onye iberibe
1,4.11447E+17,"okpo ntu""@username : olori buruku""@username : lol onye iberibe""@username : @username so na only igbos full here? ode"
2,1.63482E+18,@username nwaanyi watsup it's too early ##url
3,1.63628E+18,@username asamma nwaanyi oma🥰❤️
4,1.63344E+18,"made this woman love anime.   now, gojo satoru don take my place as wallpaper.   umu nwaanyi di egwu."
5,1.63492E+18,@username 🙌🙌🙌agụ nwaanyị ❤️❤️❤️🥰
6,1.6327E+18,@username nwaanyị ọma ❤️
7,1.6342E+18,@username you're welcome nwaanyi bekee (beautiful queen)
8,1.6368E+18,"@username ịchọ lu mi-ọnụ, ije chọ nwaanyị nke gị na. apụ ndị ń eme love 😂"
9,1.63711E+18,@username ndo nwanne m nwaanyị ❤️
10,1.63485E+18,ahubeghi m onye did nasty ka @username 😭😂  anam ewishi zi na m bu nwaanyi.😭😂 ##url
11,1.63399E+18,@username face the truth asịrị nwaanyị
12,1.63493E+18,@username chidubem nwaanyị mara mma. kedụ?
13,1.63215E+18,@username agbawa ekete bu nwaanyi 🔥
14,1.32988E+18,@username chai nwaanyi ofe mmanu
15,1.63721E+18,@username wo ọkwa ụmụ nwaanyị nwe ụwa a
16,1.6357E+18,@username gi na umu nwaanyi obidi
17,1.63482E+18,@username ogbunigwe the first☝️. ana apala apa one of okwute dynasty. agụ nwaanyị nke mbụ☝️
18,1.13004E+18,"#igbotwittercommunity; 'o gini na esogbu ndi ofe mmanu na ndi ozo?  i hula etu ndi igbo na twitter  si akwado asusu igbo ka o bu nwaanyi a luru ohuru na akwado kwa nzuko hangout, e nwere ndi ona ewe iwe.   it doesn't suit the narrative that ndi igbo are self hating so everyone ##url"
19,1.63607E+18,@username okalu m mma na mu nodulu onwe m dan na m nwe enyi nwaanyi ga egbu m egbu
20,1.63736E+18,@username good morning nwaanyi oma .
21,1.63377E+18,"nwaanyi muta ite ofe mmiri mmiri, di ya amuta ipi utara aka were suru ofe."
22,1.63668E+18,@username odugwu nwaanyi 👏
23,1.34244E+18,"@username unu a kọjọrọ ụmụ nwoke igbo akụkọ unu ama tọ ụtọ, ọ dịka unu bụ ụmụ nwaanyị igbo ana emeka ọfụma. i sịrị pizza bunye fa, ị jụkwa fa ma fa ana eri pizza? ebe onye fụlụ ịfụ n' anya kalu ya mma, ya jisi ike. onye ofe mmanụ nụọ gị ọfụma. udo!"
24,1.63334E+18,"ụbọchị ụmụ nwaanyị  ị na-egosi ike, ịhụnanya na onyinye n'ihe ọ bụla ị mere. site na gị ka ngọzi kachasị si abịa ụwa. udo, amara, amamihe na ebube ka ị na-ezipụta ebe ọ bụla ị nọ.  nwatakịrị ọ bụla ị kwụ n'azụ ga-abarịrị uru. 👇🏾👇🏾 ##url"
25,1.63336E+18,@username nne nwaanyị! daalụ!
26,4.06512E+17,"nope ""@username : yoruba people smooching you/her? rt @username : ndi ofe mmanu, hapu kwanu nu nwata nwaanyi a aka nu biko."""
27,1.63488E+18,@username 🤣 🤣 nwaanyị gị aka e gbu ewu
28,1.63504E+18,"@username nwaanyị nke a, ịmaka ị na-achaba m anya"
29,1.63233E+18,agu nwaanyi ✊✊✊✊✊ ##url
30,1.63233E+18,@username nwaanyị ọma see my account number 3113269034 firstbank. ##url
31,1.63451E+18,🤣🤣🤣🤣🤣 akpi zukwanuike ebe ụmụ nwaanyị nọ. ##url
32,1.63323E+18,@username chukwu ga gba nwaanyi ahu oku. alili!!!
33,1.63704E+18,"@username nne, jide k'iji! agbala nwaanyi k'i bu!!!!!"
34,1.63587E+18,@username daalu nwaanyi oma 😊
35,1.63307E+18,umu nwaanyi please nau! 😥 ##url
36,1.63338E+18,@username ya bụ na m mara mma nwaanyị 💃💃💃... imeela nwanne m 😁
37,1.63354E+18,today on how to massage in nwaanyị ike 😂 ##url
38,1.63568E+18,nwaanyi oma 🥹🥹🥹🥹 ##url
39,1.63457E+18,"@username jisi ike nwaanyị ọma, you're really an amazing woman 🙌🏻🙌🏻🙌🏻"
40,1.63577E+18,"@username nwaanyị ọma see me now,  8064410448  opay"
41,1.63489E+18,@username umu nwaanyị nzuzu
42,3.30715E+17,"lol.curse""@username : nkita rakwa nwanne gi nwaanyi@username : onye iberibe, nna gi onyeoshi, @username : 98% of igbo boys are armed robbers"""
43,1.63301E+18,"n'omenala igbo tupu nwoke alụọ nwaanyị nna ya, nne ya na ụmụnna ya ga-ama maka nke ahụ. nwaanyị ọ bụla o dubatara n'ụlọ n'emeghị ego isi ya, ezinụlọ anaghị anabata ya."
